texto,classe
Aquisição de EPIs e/ou medicamentos,1
Aquisição de equipamentos médico-hospitalares,1
Aquisição de insumos laboratoriais e/ou material médico-hospitalar,1
Aquisição de testes para diagnóstico de COVID-19,1
Contratação de prestador de serviço - pessoa física,0
Aquisição de ambulâncias e/ou veículos,0
Aquisição de combustíveis e/ou lubrificantes,0
Aquisição de equipamentos diversos,0
Aquisição de materiais de distribuição gratuita,0
Aquisição de materiais diversos,0
Aquisição de material de limpeza,0
"Construção, reforma e/ou ampliação de unidade hospitalar",0
Contratação de bens e serviços diversos,0
Contratação de entidade para gestão hospitalar,0
Contratação de prestador de serviço - pessoa jurídica,0
Fomento a hospitais filantrópicos,0
Fornecimento de alimentação e/ou cestas básicas,0
Locação de equipamentos e/ou veículos,0
Locação de leitos hospitalares,0
Manutenção de veículos e de outros equipamentos,0
Obras e serviços de engenharia diversos,0
Serviços de publicidade e propaganda,0
contratação de empresa pessoa jurídica na aquisição de equipamentos médico hospitalares para implementação de leitos em unidades hospitalares tendo em vista risco iminente de epidemia pelo coronavírus,1
aquisição de material médico hospitalar equipamentos para preparar de forma preventiva o hospital regional senador josé cândido ferraz bem como dar estrutura para atender possíveis pacientes infectados pelo novo coronavírus responsável pelo surto de abrangência nacional,1
contrato de aquisição de equipamentos médico hospitalares,1
contratação de empresa especializada para em caráter de urgência para aquisição de material médico hospitalar  equipamentos para preparar de forma preventiva o hospital infantil lucídio portela hilp bem como dar estrutura para atender possíveis pacientes infectados pelo novo coronavírus responsável pelo surto de abrangência nacional,1
contratação de empresa especializada para em caráter de urgência para aquisição de materiais médico hospitalares para preparar de forma preventiva o hospital infantil lucídio portela hilp bem como dar estrutura para atender possíveis pacientes infectados pelo novo coronavírus responsável pelo surto de abrangência nacional,1
contratação de empresa para fornecimento de equipamento carrinho de emergência,1
contratação de empresa para fornecimento de equipamentos aspirador de secreção e cama hospitalar fawler elétrica ao instituto de doenças tropicais natan portela valor foi retificado de r para r no doe de,1
contratação de empresa para fornecimento de equipamento de ventilador pulmonar pressometrico e volumetrico ao instituto de doenças tropicais natan portella,1
contratação de empresa para fornecimento de insumos equipo para bomba de infusão com comodato de bombas de infusão,1
contratação de empresa para fornecimento de equipamento cardioversor com sp ecg ao instituto de doenças tropicais natan portela,1
contratação de empresa para fornecimento de equipamento de fornecimento de equipamento cardioversor com sp ecg e marcap transcutâneo,1
contratação de empresa especializada em caráter de urgência para fornecer material médico hospitalar equipamentos para preparar de forma preventiva o hospital infantil lucidio portella hilp bem como dar estrutura para atender possíveis pacientes infectados pelo novo coronavírus responsável pelo surto de abrangência nacional,1
aquisição de equipamentos destinados a implementação de leitos nessa unidade de saúde tendo em vista a pandemia de coronavirus,1
aquisição de equipamentos necessários para estruturar os serviços de saúde para atender as necessidades desta secretaria municipal de saúde do município de caraúbas do piauí visto que no momento estamos em situação de emergência de saúde pública em decorrência da infecção humana pelo novo coronvírus covid,1
aquisição de equipos equipo não fotossensível para infusão de soluções parenterais em bomba de infusão para bomba de infusão condicionado ao fornecimento de doze bombas de infusão entregues em regime de comodato ressaltando que esta aquisição refere se ao enfrentamento da emergência de saúde pública decorrente do coronavirus,1
contratação de empresa especializada para aquisição de teste rápido para diagnóstico de covid para testagem nos pacientes e funcionários do hospital infantil lucídio portela hilp visando preparar de forma preventiva o hospital infantil lucídio portela hilp bem como dar estrutura para atender possíveis pacientes funcionários infectados e em gravidade pelo novo coronavírus responsável pelo surto de abrangência nacional,1
aquisição de material mascaras destinados ao enfretamento da emergência de saúde pública decorrente do coronavírus covid no municipio de picos pi,1
contratação de empresa especializada para em caráter de urgência para aquisição de solução alcóolica para limpeza cirúrgica das mãos assepsia e antimicrobiana para ser usado durante a pandemia visando evitar a disseminação do vírus covid   coronavirus responsável pelo surto de abrangência nacional,1
aquisição de equipamentos hospitalares ventilador pulmonar monitor multiparamétrico cardioversor carro de emergência cama hospitalar e outros ressaltando que esta aquisição refere se ao enfrentamento da emergência de saúde pública decorrente da pandemia pelo coronavirus,1
contratação de empresa especializada em caráter de urgência para aquisição de monitores multiparametros para montagem de leitos de retarguada no hospital infantil lucídio portela hilp para preparar o hospital bem como dar estrutura para atender os pacientes infectados pelo covid novo coronavírus responsável pelo surto de abrangência nacional,1
aquisição de respiradores pff  m dobrável,1
aquisição de equipamento em carater de urgência destinados ao enfretamento de emergência de saúde pública decorrente do novo coronavirus covid,1
aquisição de medicamentos e insumos álcool gel aventa cirúrgico filtro luva cirúrgica luva para procedimento etc para suprir o hospital maternidade dona evangelina rosa mder no enfrentamento da emergência de saúde pública decorrente do coronavirus valor original de r  mas já foram consumidos r  nos contratos e,1
contratação de empresa para fornecimento de materlal de epi para o combate ao covid,1
